,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
878,0,2,2,2,0,0
879,0,2,2,2,0,0
880,0,2,2,2,0,0
881,0,2,2,2,0,0
882,0,2,2,2,0,0
883,0,2,2,2,0,0
884,1,0,1,2,2,2
885,0,2,2,2,0,0
886,0,2,2,2,0,0
887,0,2,2,2,0,0
888,0,2,2,2,0,0
889,0,2,2,2,0,0
890,0,2,2,2,0,0
891,0,2,2,2,0,0
892,0,2,2,2,0,0
893,0,2,2,2,0,0
894,0,2,2,2,0,0
895,0,2,2,2,0,0
896,0,2,2,2,0,0
897,0,2,2,2,0,0
898,0,2,2,2,0,0
899,0,2,2,2,0,0
900,0,2,2,2,0,0
901,0,2,2,2,0,0
902,0,2,2,2,0,0
903,0,2,2,2,0,0
904,0,2,2,2,0,0
905,0,2,1,0,1,0
906,1,0,2,0,1,2
907,0,2,2,2,0,0
908,0,2,2,2,0,0
909,0,2,2,2,0,0
910,0,2,2,2,0,0
911,0,2,2,2,0,0
912,0,2,2,2,0,0
913,0,2,2,2,0,0
914,0,2,2,2,0,0
915,0,2,2,2,0,0
916,0,2,2,2,0,0
917,0,2,2,2,0,0
918,0,2,2,2,0,0
919,0,2,2,2,0,0
920,0,2,2,2,0,0
921,0,2,2,2,0,0
922,0,2,2,2,0,0
923,0,2,2,2,0,0
924,0,2,2,2,0,0
925,0,2,2,2,0,0
926,0,2,2,2,0,0
927,0,2,2,2,0,0
928,0,2,2,2,0,0
929,0,2,2,2,0,0
930,0,2,2,2,0,0
931,0,2,2,2,0,0
932,0,2,2,2,0,0
933,0,2,2,2,0,0
934,0,2,2,2,0,0
935,0,2,2,2,0,0
936,0,2,2,2,0,0
937,0,2,2,2,0,0
938,0,2,2,2,0,0
939,0,2,2,2,0,0
940,0,2,2,2,0,0
941,0,2,2,2,0,0
942,0,2,2,2,0,0
943,0,2,2,2,0,0
944,0,2,2,2,0,0
945,0,2,2,2,0,0
946,0,2,2,2,0,0
947,0,2,2,2,0,0
948,0,2,2,2,0,0
949,0,2,2,2,0,0
950,0,2,2,2,0,0
951,0,2,2,2,0,0
952,0,2,2,2,0,0
953,0,2,2,2,0,0
954,0,2,2,2,0,0
955,0,2,2,2,0,0
956,0,2,2,2,0,0
957,0,2,2,2,0,0
958,0,2,2,2,0,0
959,0,2,2,2,0,0
960,0,2,2,2,0,0
961,0,2,2,2,0,0
962,1,2,2,2,2,1
963,0,2,2,2,0,0
964,0,2,2,2,0,0
965,0,2,2,2,0,0
966,0,2,2,2,0,0
967,0,2,2,2,0,0
968,0,2,2,2,0,0
969,0,2,2,2,0,0
970,0,2,2,2,0,0
971,0,2,2,2,0,0
972,0,2,2,2,0,0
973,0,2,2,2,0,0
974,0,2,2,2,0,0
975,0,2,2,2,0,0
976,0,2,2,2,0,0
977,0,2,2,2,0,0
978,0,2,2,2,0,0
979,0,2,2,2,0,0
980,0,2,2,2,0,0
981,0,2,2,2,0,0
982,0,2,2,2,0,0
983,0,2,2,2,0,0
984,0,2,2,2,0,0
985,0,2,2,2,0,0
