,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
435,1,2,2,2,2,2
436,1,2,2,2,2,2
437,1,2,2,2,2,2
438,1,2,2,2,2,2
439,1,2,2,2,2,2
440,1,2,2,2,2,2
441,1,2,2,2,2,2
442,1,2,2,2,2,2
443,1,2,2,2,2,2
444,1,2,2,2,2,2
445,1,2,2,2,2,2
446,1,2,2,2,2,2
447,1,2,2,2,2,2
448,1,2,2,2,2,2
449,1,2,2,2,2,2
450,1,2,2,2,2,2
451,1,2,2,2,2,2
452,1,2,2,2,2,2
453,1,2,2,2,2,2
454,1,2,2,2,2,2
455,1,2,2,2,2,2
456,1,2,2,2,2,2
457,1,2,2,2,2,2
458,1,2,2,2,2,2
459,1,2,2,2,2,2
460,1,2,2,2,2,2
461,1,2,2,2,2,2
462,1,2,2,2,2,2
463,1,2,2,2,2,2
464,1,2,2,2,2,2
465,1,2,2,2,2,2
466,1,2,2,2,2,2
467,1,2,2,2,2,2
468,1,2,2,2,2,2
469,1,2,2,2,2,2
470,1,2,2,2,2,2
471,1,2,2,2,2,2
472,1,2,2,2,2,2
473,1,2,2,2,2,2
474,1,2,2,2,2,2
475,1,2,2,2,2,2
476,1,2,2,2,2,2
477,1,2,2,2,2,2
478,1,2,2,2,2,2
479,1,2,2,2,2,2
480,1,2,2,2,2,2
481,1,2,2,2,2,2
482,1,2,2,2,2,2
483,1,2,2,2,2,2
484,1,2,2,2,2,2
485,1,2,2,2,2,2
486,1,2,2,2,2,2
487,1,2,2,2,2,2
488,1,2,2,2,2,2
489,1,2,2,2,2,2
490,1,2,2,2,2,2
491,1,2,2,2,2,2
492,1,2,2,2,2,2
493,1,2,2,2,2,2
494,1,2,2,2,2,2
495,1,2,2,2,2,2
496,1,2,2,2,2,2
497,1,2,2,2,2,2
498,1,2,2,2,2,2
499,1,2,2,2,2,2
500,1,2,2,2,2,2
501,1,2,2,2,2,2
502,1,2,2,2,2,2
503,1,2,2,2,2,2
504,1,2,2,2,2,2
505,1,2,2,2,2,2
506,1,2,2,2,2,2
507,1,2,2,2,2,2
508,1,2,2,2,2,2
509,1,2,2,2,2,2
510,1,2,2,2,2,2
511,1,2,2,2,2,2
512,1,2,2,2,2,2
513,1,2,2,2,2,2
514,1,2,2,2,2,2
515,1,2,2,2,2,2
516,1,2,2,2,2,2
517,1,2,2,2,2,2
518,1,2,2,2,2,2
519,1,2,2,2,2,2
520,1,2,2,2,2,2
521,1,2,2,2,2,2
522,1,2,2,2,2,2
523,1,2,2,2,2,2
524,1,2,2,2,2,2
525,1,2,2,2,2,2
526,1,2,2,2,2,2
527,1,2,2,2,2,2
528,1,2,2,2,2,2
529,1,2,2,2,2,2
530,1,2,2,2,2,2
531,1,2,2,2,2,2
532,1,2,2,2,2,2
533,1,2,2,2,2,2
534,1,2,2,2,2,2
535,1,2,2,2,2,2
536,1,2,2,2,2,2
537,1,2,2,2,2,2
538,1,2,2,2,2,2
539,1,2,2,2,2,2
540,1,2,2,2,2,2
541,1,2,2,2,2,2
542,1,2,2,2,2,2
543,1,2,2,2,2,2
544,1,2,2,2,2,2
545,1,2,2,2,2,2
546,1,2,2,2,2,2
547,1,2,2,2,2,2
